geoID,geoArea,belowPovTotal,unemploymentOver16Perc,householdMedianIncome,over25HSDiplomaPerc,popUnder18Total,popUnder18Perc,popOver65Total,popOver65Perc,popWithDisTotal,popWithDisPerc,langEngLessThanWellPerc,mobileHomeTotal,kitchenAccessPerc,noVehicleTotal,noVehiclePerc,popCorrectionalTotal,popJuvDetTotal,popNursingHomeTotal,popCollegeHousingTotal
1400000US55005001002,"Census Tract 10.02, Barron County, Wisconsin",633,3.9,55181,35.9,1009,18,1491,1491,995,18.1,0.6,13,100,93,93,0,0,0,0
1400000US55007960100,"Census Tract 9601, Bayfield County, Wisconsin",484,6.9,52723,23.1,493,16.9,692,692,466,16,0.6,0,98.4,79,79,0,0,0,0
1400000US55007960200,"Census Tract 9602, Bayfield County, Wisconsin",127,2.9,53203,32.4,271,15.5,534,534,299,17.2,0.5,15,97.2,8,8,99,0,0,0
1400000US55007960300,"Census Tract 9603, Bayfield County, Wisconsin",403,3.2,52065,23.5,694,19.6,727,727,461,13.4,0.3,163,98.2,75,75,511,65,69,0
1400000US55007960400,"Census Tract 9604, Bayfield County, Wisconsin",530,5.7,53708,34,963,20.1,1139,1139,811,16.9,0.5,2,100,41,41,0,0,45,0
1400000US55007960600,"Census Tract 9606, Bayfield County, Wisconsin",168,2.8,52059,30.3,208,10.4,799,799,393,19.6,0,5,100,30,30,0,0,0,0
1400000US55007990000,"Census Tract 9900, Bayfield County, Wisconsin",0,-,-,-,0,-,0,0,0,-,-,0,-,0,0,0,0,0,0
1400000US55009000100,"Census Tract 1, Brown County, Wisconsin",790,6.1,38190,29.7,978,33.6,276,276,528,18.1,8.9,0,100,128,128,0,0,0,0
1400000US55009000200,"Census Tract 2, Brown County, Wisconsin",1024,2.5,41458,35.2,1452,24.5,802,802,552,9.3,4.6,0,94.2,110,110,0,2,0,0
1400000US55009000302,"Census Tract 3.02, Brown County, Wisconsin",645,3.3,42903,30.8,859,19.6,718,718,838,19.1,7.9,0,100,235,235,0,0,0,0
1400000US55009000303,"Census Tract 3.03, Brown County, Wisconsin",908,7.3,32396,36.3,758,25.8,508,508,572,20.8,7.5,1069,99,324,324,0,0,0,0
1400000US55009000401,"Census Tract 4.01, Brown County, Wisconsin",978,1.5,32885,30.9,1187,24.8,670,670,1229,26,6.9,596,96.6,335,335,0,0,112,502
1400000US55009000402,"Census Tract 4.02, Brown County, Wisconsin",170,2.3,55515,31.7,393,18.8,410,410,291,13.9,3.2,351,100,26,26,0,0,0,0
1400000US55009000500,"Census Tract 5, Brown County, Wisconsin",320,3.2,47797,33.2,872,26.4,184,184,420,12.7,8.5,130,100,137,137,0,17,0,0
1400000US55009000600,"Census Tract 6, Brown County, Wisconsin",344,2.7,54267,33.3,825,21.1,685,685,513,13.1,2.5,171,100,49,49,0,0,0,0
1400000US55009000700,"Census Tract 7, Brown County, Wisconsin",559,2.3,46488,36.4,963,21.1,613,613,510,11.2,7.5,38,91.8,182,182,0,0,0,0
1400000US55009000800,"Census Tract 8, Brown County, Wisconsin",738,3.3,30970,40.7,603,33.5,183,183,350,19.5,7.6,119,100,147,147,0,5,0,0
1400000US55009000900,"Census Tract 9, Brown County, Wisconsin",1254,7.6,48361,35.1,1213,28.1,189,189,423,9.8,28.5,319,100,70,70,1086,0,0,0
1400000US55009001000,"Census Tract 10, Brown County, Wisconsin",200,6.9,48854,20.6,145,11,139,139,152,13.6,0,107,100,108,108,0,0,0,0
1400000US55009001100,"Census Tract 11, Brown County, Wisconsin",772,4.6,33250,29.5,811,36.8,171,171,383,17.4,18.7,210,100,113,113,149,0,0,0
1400000US55009001200,"Census Tract 12, Brown County, Wisconsin",497,7.5,33875,38.6,694,28.8,143,143,440,18.3,10.9,41,99.4,192,192,0,0,0,0
1400000US55009001300,"Census Tract 13, Brown County, Wisconsin",776,12.1,41420,28.3,713,25.8,384,384,356,13.4,1,0,95.6,139,139,0,0,0,0
1400000US55009001400,"Census Tract 14, Brown County, Wisconsin",416,1.7,46045,40.3,829,24.9,218,218,375,11.3,2.4,120,100,87,87,0,0,0,0
1400000US55009001600,"Census Tract 16, Brown County, Wisconsin",694,3.4,39469,40.4,1676,27.9,626,626,600,10,21.2,323,100,206,206,0,0,104,0
1400000US55009001701,"Census Tract 17.01, Brown County, Wisconsin",605,6.8,41042,33.1,934,25.8,230,230,257,7.1,31.5,299,100,84,84,0,0,0,0
1400000US55009001702,"Census Tract 17.02, Brown County, Wisconsin",1066,4.9,31707,31,830,23.9,332,332,380,11,21,269,100,189,189,0,0,0,0
1400000US55009001801,"Census Tract 18.01, Brown County, Wisconsin",526,4.3,65497,27.7,1145,20.8,922,922,541,11.3,4.2,54,100,114,114,43,0,51,0
1400000US55009001802,"Census Tract 18.02, Brown County, Wisconsin",179,3.5,86667,23.7,1146,18.4,581,581,378,6.1,2.9,0,100,7,7,0,0,0,0
1400000US55009002001,"Census Tract 20.01, Brown County, Wisconsin",1322,2.4,53275,25.3,2235,25.8,1505,1505,1142,13.3,9.7,0,97,317,317,3037,0,81,0
1400000US55009002002,"Census Tract 20.02, Brown County, Wisconsin",424,4.6,53847,36.7,1322,26,583,583,461,9.1,8.9,0,100,72,72,0,0,0,0
1400000US55009002003,"Census Tract 20.03, Brown County, Wisconsin",153,1.9,66935,30.7,775,21.7,435,435,324,9.1,2.6,0,100,9,9,0,0,0,0
1400000US55009010100,"Census Tract 101, Brown County, Wisconsin",360,3.9,72627,25,1130,19.5,987,987,490,8.5,2.3,77,98.1,89,89,0,0,59,8
1400000US55009010201,"Census Tract 102.01, Brown County, Wisconsin",368,4.2,53971,28.5,526,11.5,622,622,518,11.3,1.1,22,100,99,99,0,0,141,0
1400000US55009010202,"Census Tract 102.02, Brown County, Wisconsin",332,0,63605,26.5,1403,27,779,779,449,8.8,1.8,51,100,95,95,0,0,0,0
1400000US55009010300,"Census Tract 103, Brown County, Wisconsin",445,2.5,61995,26.9,2122,29.4,1227,1227,679,9.4,0.2,22,93.9,123,123,0,0,0,0
1400000US55009020100,"Census Tract 201, Brown County, Wisconsin",323,1.7,70989,34.4,1189,19.5,1264,1264,472,7.8,0.4,60,88.5,71,71,0,0,0,0
1400000US55009020203,"Census Tract 202.03, Brown County, Wisconsin",273,5.5,85156,31.4,1704,25,844,844,684,10,0,27,100,20,20,0,0,0,0
1400000US55009020204,"Census Tract 202.04, Brown County, Wisconsin",130,3.2,107071,25.4,1468,26,668,668,304,5.4,0.4,3,100,25,25,0,0,0,0
1400000US55009020502,"Census Tract 205.02, Brown County, Wisconsin",958,5.4,45597,35.7,1249,22.2,708,708,833,14.8,3.6,0,99,112,112,0,0,0,0
1400000US55009020503,"Census Tract 205.03, Brown County, Wisconsin",522,3.6,65811,36.7,1747,21.3,1506,1506,962,11.8,2.8,0,89.9,201,201,0,0,209,0
1400000US55009020504,"Census Tract 205.04, Brown County, Wisconsin",118,1.7,89219,24,1551,27.8,761,761,446,8,0.6,0,100,9,9,0,0,0,0
1400000US55009020600,"Census Tract 206, Brown County, Wisconsin",260,2.3,77948,38.9,1362,25.7,721,721,448,8.4,0.6,16,92.2,55,55,0,0,0,0
1400000US55009020702,"Census Tract 207.02, Brown County, Wisconsin",216,1.4,106384,20.7,2190,30.7,695,695,274,3.8,0.5,0,100,3,3,0,0,98,0
1400000US55009020703,"Census Tract 207.03, Brown County, Wisconsin",472,3.2,64017,29.6,1747,24.9,1105,1105,548,7.8,3.2,4,100,45,45,0,0,0,0
1400000US55009020704,"Census Tract 207.04, Brown County, Wisconsin",933,3.5,51502,33.7,1791,21.1,1391,1391,1084,12.8,7.3,0,96,230,230,0,3,0,0
1400000US55009020800,"Census Tract 208, Brown County, Wisconsin",140,2.2,63995,32.5,498,20.9,544,544,393,16.9,7.8,0,76.9,121,121,0,0,0,0
1400000US55009020900,"Census Tract 209, Brown County, Wisconsin",16,2.6,63323,14.8,562,21.3,585,585,364,13.8,5.9,0,100,34,34,646,7,0,0
1400000US55009021000,"Census Tract 210, Brown County, Wisconsin",127,1.9,78409,19.6,564,20.1,611,611,276,9.8,0.4,74,94.5,65,65,0,0,0,0
1400000US55009021100,"Census Tract 211, Brown County, Wisconsin",0,-,-,52.7,0,0,25,25,0,-,2.6,172,-,0,0,0,0,0,0
1400000US55009021200,"Census Tract 212, Brown County, Wisconsin",385,4.3,79663,26.6,1146,23.1,927,927,551,11.2,0.2,0,100,0,0,0,0,0,0
1400000US55009021301,"Census Tract 213.01, Brown County, Wisconsin",322,3.8,50729,35.6,706,22,683,683,433,13.5,1,2,96.4,86,86,0,0,0,0
1400000US55009021302,"Census Tract 213.02, Brown County, Wisconsin",245,4.5,71778,29.9,1226,20.8,973,973,640,10.8,2.4,134,100,91,91,0,0,0,0
1400000US55009021303,"Census Tract 213.03, Brown County, Wisconsin",496,6.2,41756,30.6,890,21.5,802,802,575,14.6,1.9,17,98.7,213,213,0,0,0,0
1400000US55009021304,"Census Tract 213.04, Brown County, Wisconsin",145,4.9,42484,26.4,420,19.3,239,239,212,9.7,0,0,100,48,48,0,0,0,0
1400000US55009021400,"Census Tract 214, Brown County, Wisconsin",498,2.9,79759,30,2464,29.1,805,805,470,5.6,2.5,0,96.6,80,80,0,0,0,0
1400000US55009021500,"Census Tract 215, Brown County, Wisconsin",75,1.7,74896,39.3,811,26.6,458,458,311,10.2,0.1,86,89.5,23,23,0,0,0,0
1400000US55009021600,"Census Tract 216, Brown County, Wisconsin",560,2.6,57589,37,1542,25.3,978,978,745,12.3,0.5,0,100,106,106,0,0,0,0
1400000US55009940001,"Census Tract 9400.01, Brown County, Wisconsin",1055,2.7,89493,23.9,4699,25.2,2091,2091,1175,6.3,0.8,0,100,161,161,0,0,0,0
1400000US55009940002,"Census Tract 9400.02, Brown County, Wisconsin",312,2.8,89667,22.6,1159,25.5,468,468,421,9.2,0.9,0,100,26,26,0,0,0,0
1400000US55009940003,"Census Tract 9400.03, Brown County, Wisconsin",407,5.6,59375,21.8,818,24.6,574,574,391,11.8,0.9,0,100,104,104,17,0,0,0
1400000US55009940004,"Census Tract 9400.04, Brown County, Wisconsin",194,4.6,60417,27.6,577,22.4,499,499,381,14.8,1.2,0,100,10,10,2348,0,0,0
1400000US55011960100,"Census Tract 9601, Buffalo County, Wisconsin",305,2.2,63636,42.3,552,22,431,431,220,8.8,2.1,16,99.3,27,27,0,2,0,0
1400000US55011960200,"Census Tract 9602, Buffalo County, Wisconsin",228,2,53357,42.5,595,21.6,600,600,402,14.8,0.3,97,87.7,126,126,0,27,0,0
1400000US55011960300,"Census Tract 9603, Buffalo County, Wisconsin",235,2.7,55134,40.1,422,18.9,501,501,270,12.3,2.4,38,100,54,54,0,0,0,0
1400000US55011960400,"Census Tract 9604, Buffalo County, Wisconsin",168,1.8,60735,40.6,487,20.1,544,544,244,10.1,0,29,100,27,27,0,0,0,0
1400000US55011960500,"Census Tract 9605, Buffalo County, Wisconsin",288,1.8,58488,41.7,671,20.6,712,712,348,10.7,1.2,121,100,49,49,0,0,0,0
1400000US55013970400,"Census Tract 9704, Burnett County, Wisconsin",444,4.2,48443,35.3,501,13.1,1424,1424,747,19.5,0.4,74,100,52,52,0,0,0,0
1400000US55013970600,"Census Tract 9706, Burnett County, Wisconsin",273,5.2,57019,35,413,21.2,502,502,323,16.6,1.3,1,100,13,13,0,0,0,0
1400000US55013970700,"Census Tract 9707, Burnett County, Wisconsin",312,4.8,46150,44.6,377,16,692,692,398,17.1,0.3,18,100,14,14,0,0,0,0
1400000US55013970800,"Census Tract 9708, Burnett County, Wisconsin",430,3.9,45000,40.1,433,18.2,566,566,477,20.4,0.1,82,100,101,101,0,3,0,0
1400000US55013970900,"Census Tract 9709, Burnett County, Wisconsin",439,6.8,49119,38.6,701,23.9,566,566,368,12.7,0.6,64,99.4,63,63,0,0,0,0
1400000US55013971000,"Census Tract 9710, Burnett County, Wisconsin",152,4.8,63919,33.5,306,17,423,423,235,13,0.3,85,100,22,22,0,0,51,0
1400000US55015020100,"Census Tract 201, Calumet County, Wisconsin",311,2.2,64216,39,1294,27.3,628,628,414,8.7,1.6,195,95,67,67,0,0,0,0
1400000US55015020200,"Census Tract 202, Calumet County, Wisconsin",147,1.3,67621,45.8,899,24.2,531,531,305,8.2,2.4,88,99.1,35,35,0,0,0,0
1400000US55015020303,"Census Tract 203.03, Calumet County, Wisconsin",227,9.6,60139,37,921,23.7,446,446,373,9.6,1.1,101,100,12,12,0,0,80,0
1400000US55015020304,"Census Tract 203.04, Calumet County, Wisconsin",278,1.9,50144,32.4,895,24,335,335,304,8.1,4.9,305,100,92,92,0,0,106,0
1400000US55015020306,"Census Tract 203.06, Calumet County, Wisconsin",234,0.7,92903,28.1,1732,26.4,820,820,545,8.3,0.2,98,100,26,26,0,0,39,0
1400000US55015020308,"Census Tract 203.08, Calumet County, Wisconsin",198,1.4,91280,22,1251,29.9,464,464,335,8,1.9,251,100,47,47,0,0,0,0
1400000US55015020400,"Census Tract 204, Calumet County, Wisconsin",179,1.3,69107,41.3,542,16.8,641,641,319,9.9,1.3,237,100,23,23,0,0,0,0
1400000US55015020500,"Census Tract 205, Calumet County, Wisconsin",579,2.4,51380,35.2,1044,21.3,1058,1058,541,11.3,1.1,0,85.7,214,214,26,0,0,1944
1400000US55015020600,"Census Tract 206, Calumet County, Wisconsin",294,1.2,55156,35.4,891,18.6,1024,1024,662,14,0,193,86.3,125,125,0,0,0,0
1400000US55015020700,"Census Tract 207, Calumet County, Wisconsin",42,0.8,118125,22.1,1462,31.7,348,348,267,5.8,1.5,205,100,0,0,0,1,0,0
1400000US55015020800,"Census Tract 208, Calumet County, Wisconsin",337,2.3,88448,18.1,1335,24.5,638,638,388,7.1,2.1,120,100,18,18,0,0,0,797
1400000US55017010100,"Census Tract 101, Chippewa County, Wisconsin",226,2.3,49576,30.1,786,26.3,430,430,299,10,4.4,170,94.8,23,23,0,0,0,0
1400000US55017010200,"Census Tract 102, Chippewa County, Wisconsin",443,2.4,61806,37.3,1619,23.1,1067,1067,951,13.7,0.2,155,100,234,234,0,0,0,0
1400000US55017010300,"Census Tract 103, Chippewa County, Wisconsin",1012,5.9,49799,29.1,1362,24.3,855,855,809,14.8,0.5,31,100,177,177,0,0,99,0
1400000US55017010400,"Census Tract 104, Chippewa County, Wisconsin",280,2,77182,32.2,1158,22.9,915,915,570,11.3,1.3,29,85,51,51,0,0,41,0
1400000US55017010500,"Census Tract 105, Chippewa County, Wisconsin",979,5.3,40650,38.2,942,17.9,820,820,692,14.6,1.4,0,93.4,257,257,0,0,0,0
1400000US55017010700,"Census Tract 107, Chippewa County, Wisconsin",483,2.5,74572,30.9,1825,23.9,1447,1447,791,10.4,0.4,0,100,22,22,0,0,0,0
1400000US55017010800,"Census Tract 108, Chippewa County, Wisconsin",778,3.9,54318,38.4,1349,19.2,961,961,691,12.6,1.7,109,99.3,119,119,157,0,0,0
1400000US55017010900,"Census Tract 109, Chippewa County, Wisconsin",565,2.7,48727,41.8,1298,26.9,886,886,681,14.1,1.1,116,96.9,82,82,0,0,34,0
1400000US55017011000,"Census Tract 110, Chippewa County, Wisconsin",1061,3.6,54747,39.9,1571,21.4,1251,1251,1147,15.7,0,15,99.6,106,106,0,0,0,0
1400000US55017011100,"Census Tract 111, Chippewa County, Wisconsin",349,2.5,59506,41.4,890,21.7,849,849,492,12,1.1,352,96.7,61,61,0,0,0,0
1400000US55017011200,"Census Tract 112, Chippewa County, Wisconsin",441,2.9,57225,38.9,1672,24.7,1287,1287,670,10,0.2,0,100,107,107,0,0,0,0
1400000US55019950100,"Census Tract 9501, Clark County, Wisconsin",532,3,52621,46.3,1425,28.9,793,793,606,12.5,9,0,96.8,153,153,0,0,0,0
1400000US55019950200,"Census Tract 9502, Clark County, Wisconsin",558,3.4,51806,37.7,1488,32.7,733,733,474,10.8,12.3,239,100,188,188,0,0,0,0
1400000US55019950300,"Census Tract 9503, Clark County, Wisconsin",474,1.8,50042,38.7,1453,32.9,712,712,435,10,10.9,151,100,172,172,0,0,60,0
1400000US55019950400,"Census Tract 9504, Clark County, Wisconsin",444,3.2,52450,36.7,1147,29.6,637,637,529,13.7,11,158,93.5,171,171,0,0,0,0
1400000US55019950500,"Census Tract 9505, Clark County, Wisconsin",738,2.9,52382,43.3,1688,32.5,638,638,462,8.9,5.6,252,92.7,147,147,0,0,0,53
1400000US55019950600,"Census Tract 9506, Clark County, Wisconsin",702,2.8,53983,39.1,1445,30.4,601,601,482,10.2,10.1,8,79.3,211,211,0,0,139,0
1400000US55019950700,"Census Tract 9507, Clark County, Wisconsin",370,3.5,46875,45.9,803,22.1,799,799,521,14.9,1.7,163,95.9,117,117,0,0,0,0
1400000US55019950800,"Census Tract 9508, Clark County, Wisconsin",464,4.2,52991,44.1,685,21.8,674,674,432,13.8,1.2,63,100,67,67,0,0,443,0
1400000US55021970100,"Census Tract 9701, Columbia County, Wisconsin",481,5.2,62963,39.3,1117,27.6,587,587,329,8.1,6.2,86,94,82,82,0,0,0,0
1400000US55021970200,"Census Tract 9702, Columbia County, Wisconsin",499,4.1,64095,35.9,1240,21.9,1004,1004,583,10.5,2.5,20,96.9,118,118,0,0,0,0
1400000US55021970300,"Census Tract 9703, Columbia County, Wisconsin",507,4.3,53029,36.5,780,18.5,878,878,465,11.2,3.3,98,96.7,97,97,0,0,0,0
1400000US55021970400,"Census Tract 9704, Columbia County, Wisconsin",728,4.2,44572,41.4,1138,17,1206,1206,1069,18.4,1.3,87,91.8,471,471,0,0,46,0
1400000US55021970500,"Census Tract 9705, Columbia County, Wisconsin",638,7.1,43925,36.9,1133,25.7,477,477,470,11,2,77,98.2,55,55,0,0,0,0
1400000US55021970600,"Census Tract 9706, Columbia County, Wisconsin",168,1.3,71776,34,742,16.2,1168,1168,615,13.4,1.1,303,97.2,43,43,0,0,0,0
1400000US55021970700,"Census Tract 9707, Columbia County, Wisconsin",258,1.5,78377,28.6,890,21.2,704,704,536,12.8,1.2,56,98.9,102,102,0,0,0,0
1400000US55021970800,"Census Tract 9708, Columbia County, Wisconsin",271,1,78314,23.2,1426,24.4,926,926,620,10.7,1.1,41,98,78,78,51,0,0,0
1400000US55021970900,"Census Tract 9709, Columbia County, Wisconsin",128,4.6,80757,30.5,1016,21.9,820,820,431,9.3,0.3,0,89.1,29,29,27,0,0,0
1400000US55021971000,"Census Tract 9710, Columbia County, Wisconsin",169,3.5,69766,36.3,774,20.4,630,630,345,9.1,0.3,189,99.2,18,18,0,0,167,0
1400000US55021971100,"Census Tract 9711, Columbia County, Wisconsin",236,2.3,75912,33.3,949,26,490,490,363,9.9,1.7,541,87.6,68,68,0,0,0,0
1400000US55021971200,"Census Tract 9712, Columbia County, Wisconsin",439,2.2,57877,31.4,1262,24.3,781,781,473,9.2,1.2,94,98.8,32,32,0,0,31,0
1400000US55023960100,"Census Tract 9601, Crawford County, Wisconsin",443,4.4,44189,36.6,662,23.4,638,638,363,13,2.3,15,96.9,69,69,0,0,189,0
1400000US55023960200,"Census Tract 9602, Crawford County, Wisconsin",228,3.3,52457,36.2,449,21,543,543,321,15,0.6,56,95.7,42,42,0,0,0,0
1400000US55023960300,"Census Tract 9603, Crawford County, Wisconsin",191,2.5,52589,42.2,517,21.1,485,485,293,12,1.2,318,94.1,20,20,0,0,0,0
1400000US55023960400,"Census Tract 9604, Crawford County, Wisconsin",372,2.4,49875,45.8,691,21.7,719,719,445,14,0.2,0,100,70,70,0,0,0,0
1400000US55023960500,"Census Tract 9605, Crawford County, Wisconsin",268,2.7,47882,37.4,451,21.9,344,344,366,18,0.4,9,92.6,69,69,0,25,0,0
1400000US55023960600,"Census Tract 9606, Crawford County, Wisconsin",496,5.3,48191,40.7,614,16.9,803,803,574,19.2,0.7,0,92.3,144,144,0,0,0,0
1400000US55025000100,"Census Tract 1, Dane County, Wisconsin",184,6.4,71797,14,283,11.6,375,375,330,13.5,2.1,10,100,100,100,0,0,0,0
1400000US55025000201,"Census Tract 2.01, Dane County, Wisconsin",110,0.8,87788,9.6,332,16.1,428,428,66,3.2,0.6,0,100,19,19,0,0,0,0
1400000US55025000202,"Census Tract 2.02, Dane County, Wisconsin",233,3,82625,8.7,527,16.6,746,746,310,9.8,6.6,6,98.4,43,43,0,0,0,0
1400000US55025000204,"Census Tract 2.04, Dane County, Wisconsin",866,6.9,78368,10.3,1388,25,867,867,174,3.1,8.2,0,100,312,312,149,0,110,0
1400000US55025000205,"Census Tract 2.05, Dane County, Wisconsin",77,0.2,95921,7.9,860,16.9,1308,1308,512,10.1,0.9,87,98.1,115,115,0,0,0,0
1400000US55025000300,"Census Tract 3, Dane County, Wisconsin",1113,6,53464,7.7,968,16.2,814,814,407,6.8,14.9,5,97.4,383,383,0,0,127,0
1400000US55025000401,"Census Tract 4.01, Dane County, Wisconsin",114,2.1,97461,5.8,721,22,573,573,224,6.8,2.8,9,100,33,33,237,0,0,0
1400000US55025000402,"Census Tract 4.02, Dane County, Wisconsin",126,2.5,101518,7.7,553,22,421,421,146,5.8,4,41,100,28,28,0,0,0,0
1400000US55025000405,"Census Tract 4.05, Dane County, Wisconsin",545,2.4,67283,13.3,1119,17,478,478,565,8.6,13,422,100,91,91,0,0,101,0
1400000US55025000406,"Census Tract 4.06, Dane County, Wisconsin",136,2.2,71389,7.4,501,14.6,694,694,351,10.4,5.1,0,97.6,141,141,0,0,0,82
1400000US55025000407,"Census Tract 4.07, Dane County, Wisconsin",1314,3.3,63401,16.1,1558,27,675,675,602,10.4,7.6,0,100,97,97,0,0,65,0
1400000US55025000408,"Census Tract 4.08, Dane County, Wisconsin",257,2.6,40921,21.2,82,4.4,847,847,487,27,2.8,28,95.7,214,214,66,0,0,0
1400000US55025000501,"Census Tract 5.01, Dane County, Wisconsin",858,2.7,65562,19,893,20.2,794,794,369,8.3,1.4,0,100,209,209,0,0,0,0
1400000US55025000503,"Census Tract 5.03, Dane County, Wisconsin",583,1.1,70917,18.8,1761,24.3,666,666,600,8.3,3.6,337,100,103,103,0,0,0,0
1400000US55025000504,"Census Tract 5.04, Dane County, Wisconsin",190,0.8,92132,11.5,1281,18.5,493,493,308,4.4,4.5,256,100,14,14,240,0,0,57
1400000US55025000600,"Census Tract 6, Dane County, Wisconsin",1242,3.2,39027,31,2343,37.6,375,375,640,10.3,17.7,10,100,179,179,0,0,0,0
1400000US55025000700,"Census Tract 7, Dane County, Wisconsin",83,2.1,101875,6.2,734,22.2,572,572,212,6.6,3.2,0,96.9,36,36,0,0,116,0
1400000US55025000800,"Census Tract 8, Dane County, Wisconsin",511,3.2,70773,3.4,610,16,503,503,222,5.8,1.7,0,100,99,99,0,0,0,0
1400000US55025000901,"Census Tract 9.01, Dane County, Wisconsin",118,3.1,129293,2.4,520,23.9,378,378,101,4.6,2.3,164,100,60,60,0,0,0,1301
1400000US55025000902,"Census Tract 9.02, Dane County, Wisconsin",2163,1.5,40211,4.8,561,9.9,268,268,202,3.6,3.5,0,100,401,401,0,0,43,0
1400000US55025001000,"Census Tract 10, Dane County, Wisconsin",57,0.5,94550,2.7,390,14.8,340,340,197,7.5,1.5,0,100,18,18,0,0,0,0
1400000US55025001101,"Census Tract 11.01, Dane County, Wisconsin",4043,5.5,17481,21.9,17,0.3,37,37,217,4.2,4.3,0,96.7,948,948,0,0,0,0
1400000US55025001102,"Census Tract 11.02, Dane County, Wisconsin",200,8.6,9856,0,59,1.6,0,0,138,3.7,11.4,26,100,16,16,0,0,123,0
1400000US55025001200,"Census Tract 12, Dane County, Wisconsin",2617,4.8,50582,8.3,562,8.1,345,345,486,7,3.7,0,99,239,239,0,0,0,0
