OBJECTID,UNIQUE_ID,FACILITY_NAME,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,LAT,LON,COUNTY,PHONE,URL
88,88,St. Clare Health Mission,916 Ferry St,,La Crosse,WI,54601,43.805426,-91.243719,LaCrosse,608-791-9544,http://www.stclarehealthmission.org/
89,89,St. Clare Health Mission of Sparta,310 W Main St,,Sparta,WI,54656,43.944611,-90.814676,Monroe,608-269-2132,
90,90,St. Francis Community Free Walk-in Clinic,1062 N Koeller St,,Oshkosh,WI,54902,44.02949,-88.58154,Winnebago,920-231-2378,http://fathercarrs.org/free-clinic/
91,91,St. Joseph’s Medical Clinic,826 N East Ave,,Waukesha,WI,53186,43.01211,-88.22687,Waukesha,262-544-6777,www.sjmdc.net
92,92,St. Vincent de Paul Charitable Pharmacy,2033 Fish Hatchery Rd,,Madison,WI,53713,43.043234,-89.403164,Dane,608-268-0355,http://svdpmadison.org/need-assistance/pharmacy/
93,93,St. Vincent de Paul Free Clinic,1004 E Main St,,Merrill,WI,54452,45.180533,-89.685525,Lincoln,715-539-9566,https://www.facebook.com/St-Vincent-de-Paul-Free-Clinic-1434134956638213/
94,94,The Open Door Clinic Inc,PO Box 271,,Chippewa Falls,WI,54729,44.93756,-91.393142,Chippewa,715-720-1443,www.chippewaopendoor.org
95,95,Touched Twice United Inc,PO Box 732,,Chippewa Falls,WI,54729,44.93756,-91.393142,Chippewa,715-379-0826,http://touchedtwiceunited.org/
96,96,Tri-County Dental,9 Tri Park Way,,Appleton,WI,53094,44.280702,-88.453245,Outagamie,920-882-5500,https://www.tricountydental.org/
97,97,Twin Counties Free Clinic,1301 Cheri Blvd # 116,,Marinette,WI,54143,45.073105,-87.622187,Marinette,715-732-1349,www.twincountiesfreeclinic.org
98,98,UW - Milwaukee Silver Spring Community Nursing Center,5460 N 64th St Ste 143,,Milwaukee,WI,53218,43.117506,-87.990925,Milwaukee,414-535-0432,https://uwm.edu/nursing/community/silver-spring/
99,99,UW-Milwaukee House of Peace Community Nursing Center,1702 W Walnut St,,Milwaukee,WI,53205,43.052797,-87.9341,Milwaukee,414-933-1590,http://uwm.edu/nursing/community/house-of-peace/
100,100,Waukesha County Community Dental Clinic,N81W15062 Appleton Ave,,Menomonee Falls,WI,53151,43.165297,-88.096889,Waukesha,262-522-7645,http://www.wccdentalclinic.org/
101,101,Waukesha County Community Dental Clinic,210 NW Barstow St,,Waukesha,WI,53188,43.014546,-88.232301,Waukesha,262-522-7645,http://www.wccdentalclinic.org/
102,102,Watertown Area Cares Clinic,415 S 8th St,,Watertown,WI,53094,43.19038,-88.71696,Jefferson,920-206-7797,http://watertownareacaresclinic.org/
